disease_name,ayurvedic_remedy
obesity,Practice Udvartana (herbal powder massage). Take Triphala Guggulu and avoid high-carb diet.
polycystic ovarian syndrome (pcos),Take Kanchanar Guggulu and Shatavari. Practice Yoga (Dhanurasana).
diabetes,"Include Jamun seed powder, Karela (Bitter gourd), and Methi (Fenugreek) in diet. Take Chandraprabha Vati."
psoriasis,Panchakarma (Virechana). Apply Neem and Coconut oil.
onychomycosis,Apply Tankana Bhasma with Lemon juice or Neem oil to the affected nail.
seborrheic dermatitis,Wash hair with Triphala decoction. Apply Bhringraj or Neem oil.
ulcerative colitis,Take Kutaj Ghan Vati and include Buttermilk (Takra) in the daily diet.
irritable bowel syndrome,Takra (Buttermilk) with Cumin. Bilva fruit powder.
stomach cancer,Supportive care: Take Wheatgrass juice and Guduchi Satva. Consult Oncology.
pneumonia,Respiratory support with Vasa and Sitopaladi. Seek medical care if breathing is difficult.
chronic obstructive pulmonary disease (copd),Vasa and Pippali. Avoid smoking and pollutants.
obsessive compulsive disorder (ocd),Saraswatarishta and Jatamansi. Practice Trataka (candle gazing meditation).
panic disorder,Practice Bhramari Pranayama. Take Ashwagandha and Brahmi Vati.
post-traumatic stress disorder (ptsd),Daily Shirodhara treatment and Medhya Rasayana herbs.
ovarian torsion,URGENT: Surgical emergency. No home remedy. Seek immediate hospital care.
peritonitis,URGENT: Life-threatening infection. Seek emergency medical intervention immediately.
pneumothorax,URGENT: Lung collapse. Seek emergency ER care immediately.
stroke,"EMERGENCY. Post-stroke recovery: Ashwagandha, Basti, and Physiotherapy."
osteoarthritis,Massage with Mahanarayan Oil. Take Shallaki (Boswellia).
osteoporosis,"Include calcium-rich diet (Sesame seeds, Milk). Take Lakshadi Guggulu."
sciatica,Kati Basti. Take Ekangveer Ras and Yograj Guggulu.
vaginal yeast infection,Wash with Triphala water. Take internal probiotics like Buttermilk.
uterine fibroids,"Kanchanar Guggulu and Varunadi Vati. Avoid heavy, oily foods."
urinary tract infection,Gokshuradi Guggulu and Punarnava. Drink Cranberry/Barley water.
shingles (herpes zoster),Apply Shatadhauta Ghrita (100 times washed ghee) locally for cooling.
typhoid fever,Take Sanjivani Vati. Follow a strict liquid diet (Peyadi Krama).
tooth abscess,Gargle with warm salt water and Triphala. Apply Clove oil (Lavanga Taila).
oral thrush (yeast infection),Oil pulling with Coconut oil (Gandusha). Use Turmeric gargles.
de quervain disease,Apply Lepa of Dashamula. Practice gentle wrist movements. Take Yograj Guggulu.
decubitus ulcer,Clean with Triphala water. Apply Jatyadi Ghrita or Honey to promote healing.
deep vein thrombosis (dvt),"Medical Emergency. Post-stabilization, use herbs like Arjuna and Guggulu to support circulation."
degenerative disc disease,Kati Basti (oil pool) with Sahacharadi Taila. Take Trayodashang Guggulu.
delirium,Identify root cause. Calming herbs like Jatamansi and Saraswatarishta. Maintain quiet environment.
dementia,Medhya Rasayanas like Brahmi and Vacha. Daily head massage (Shiro Abhyanga) with Brahmi oil.
dengue fever,Papaya leaf juice to boost platelets. Take Giloy (Guduchi) Ghan Vati for immunity.
dental caries,Gargle with Irimedadi Taila (Oil pulling). Limit sugary foods.
depression,Take Ashwagandha and Brahmi. Practice daily Surya Namaskar and Pranayama.
dermatitis due to sun exposure,Apply fresh Aloe Vera or Coconut oil. Take Sariva internally.
deviated nasal septum,"Anu Taila Nasya (nasal drops). If severe, surgical correction is required."
diabetes insipidus,Manage hydration. Use cooling herbs like Sariva and Usheera to balance Pitta.
diabetic ketoacidosis,CRITICAL EMERGENCY. Requires immediate hospital insulin therapy.
diabetic kidney disease,Punarnava and Gokshuradi Guggulu. Strict blood sugar management.
diabetic peripheral neuropathy,Massage with Pinda Taila. Take Ashwagandha and Vasant Kusumakar Ras.
diabetic retinopathy,Triphala Ghrita and Netra Tarpana. Control blood sugar strictly.
diaper rash,Apply Coconut oil or Yashtimadhu (Licorice) cream. Keep area dry.
dislocation of the ankle,Professional reduction required. Apply Murivenna oil for healing post-reduction.
dislocation of the elbow,Immobilize after medical alignment. Use Dhanwantaram Taila for recovery.
diverticulitis,High fiber diet. Avipattikar Churna for acidity. Avoid seeds and nuts during flare-ups.
down syndrome,Supportive therapy. Rasayana herbs like Ashwagandha to improve vitality and immunity.
drug reaction,Drink Coriander water. Apply Sandalwood paste to skin irritations.
dry eye of unknown cause,Netra Tarpana with Ghee. Use pure Rose water drops.
eczema,Neem oil application. Internal blood purifiers like Manjistha and Khadirarishta.
emphysema,Vasa (Adhatoda vasica) and Pippali. Deep breathing exercises (Pranayama).
epilepsy,Brahmi Ghrita and Jatamansi. Avoid triggers like sleep deprivation.
erectile dysfunction,"Vajikarana herbs: Ashwagandha, Safed Musli, and Kapikacchu."
esophageal varices,Clinical monitoring. Cooling herbs like Mukta Pishti to prevent bleeding.
fetal alcohol syndrome,Supportive developmental therapy. Focus on Balya (strengthening) herbs.
fibromyalgia,Daily Abhyanga with Mahanarayan Oil. Warm ginger water. Stress management.
flat feet,Foot exercises. Orthopedic support. Padabhyanga (foot massage) for pain.
flu,Ginger-Tulsi tea. Laxmi Vilas Ras. Steam inhalation.
gallstone,Consult surgeon. Pitta-pacifying diet. Avoid heavy fats.
gastritis,Suta-Shekhara Rasa. Coconut water. Avoid spicy and fermented foods.
gout,"Kaishore Guggulu. Avoid high-purine foods (red meat, spinach, alcohol)."
head injury,EMERGENCY. Post-recovery: Brahmi and Shirodhara for neurological healing.
heart attack,CALL EMERGENCY SERVICES. Post-recovery: Arjuna and lifestyle changes.
heart failure,Arjunarishta. Low salt diet. Cardiac monitoring is essential.
high blood pressure,Sarpagandha and Arjuna. Practice Yoga (Savasana). Reduce salt intake.
hiv,"Immune support with Guduchi, Tulsi, and Amalaki. Nutritional therapy."
hydrocephalus,Surgical intervention (Shunt). Ayurveda supports recovery with Vata-calming herbs.
hyperkalemia,Clinical emergency. Diet low in potassium. Punarnava for fluid balance.
hypothyroidism,Kanchanar Guggulu. Iodine-rich foods. Yoga (Sarvangasana).
ingrown toe nail,Antiseptic soak with Neem water. Proper nail trimming.
intestinal obstruction,URGENT. Seek surgical consult. No oral intake until cleared.
kidney stone,Punarnava and Varunadi Vati. Drink plenty of water.
liver cancer,Specialized Oncology. Support with Bhumyamalaki and Kalmegh.
migraine,Pathyadi Kwath. Nasya with Cow Ghee. Avoid triggers like loud noise/bright light.
multiple sclerosis,Panchakarma (Basti). Ashwagandha for nerve strength.
rheumatoid arthritis,Simhanad Guggulu. Avoid curd and heavy foods.
sepsis,CRITICAL CARE EMERGENCY. Immediate hospitalization.
abdominal aortic aneurysm,URGENT: Surgical emergency. Ayurveda supports post-op recovery with Arjuna and Dashamula.
abdominal hernia,Wear a supportive binder. Avoid Vata-aggravating foods (gas-forming). Take Triphala Guggulu.
abscess of nose,Apply Lepa of Nimba (Neem). Internal use of Guggulu and Khadirarishta.
abscess of the lung,Seek clinical intervention. Ayurveda supports with Vasa (Adhatoda vasica) and Shwas Kuthar Ras.
abscess of the pharynx,Salt water gargles with Triphala. Seek immediate medical evaluation.
acanthosis nigricans,Management of underlying obesity/diabetes. Use Udvartana (herbal powder massage) and Triphala.
acariasis,Apply Neem oil or Karanja oil topically. Internal blood purifiers like Manjistha.
achalasia,"Small, frequent warm liquid meals. Dashamoolarishta to balance Vata in the esophagus."
acne,Face pack of Lodhra and Vacha. Avoid spicy foods. Take Sarivadyasava.
actinic keratosis,Protect from sun. Apply fresh Aloe Vera gel or Coconut oil infused with Neem.
acute bronchiolitis,Sitopaladi Churna with honey. Steam inhalation with Tulsi leaves.
acute bronchitis,Kantakari Avaleha. Warm ginger tea with black pepper (Trikatu).
acute bronchospasm,Emergency care required. Ayurvedic support: Agastya Hareetaki and warm chest compresses.
acute fatty liver of pregnancy (aflp),Critical Care Required. No home remedies. Post-recovery liver support with Bhumyamalaki.
acute glaucoma,Emergency. Ayurveda supports recovery with Triphala eye washes (under supervision).
acute kidney injury,Clinical management vital. Ayurveda supports with Punarnava and Gokshuradi Guggulu.
acute otitis media,Warm Bilva oil drops (Karna Purana). Avoid cold water and wind.
acute pancreatitis,Strict fasting (Langhana). Warm water only. Seek hospital care for acute phases.
acute respiratory distress syndrome (ards),Life-threatening emergency. Immediate ICU care required.
acute sinusitis,Nasya (nasal drops) with Anu Taila. Steam inhalation with Eucalyptus.
acute stress reaction,Ashwagandha and Jatamansi. Deep belly breathing (Pranayama).
